CARRIER,DEST,ORIGIN,DAY_WEEK,FLIGHT_STATUS,UPDATED_CRS_DEP_TIME,UPDATED_DEP_TIME,DELAY_IN_MINS
DH,JFK,DCA,4,ontime,16:40,16:40,0
DH,LGA,IAD,4,ontime,12:45,12:45,0
DH,LGA,IAD,4,ontime,17:15,17:09,-6
DH,LGA,IAD,4,ontime,10:39,10:35,-4
DH,JFK,IAD,4,ontime,8:40,8:39,-1
DH,JFK,IAD,4,ontime,12:40,12:43,3
DH,JFK,IAD,4,ontime,16:45,16:44,-1
DH,JFK,IAD,4,ontime,17:15,17:10,-5
DH,JFK,IAD,4,ontime,21:20,21:29,9
DH,LGA,IAD,4,ontime,21:20,21:14,-6
DL,JFK,DCA,4,ontime,14:55,14:58,3
DL,LGA,DCA,4,ontime,9:30,9:32,2
DL,LGA,DCA,4,ontime,12:30,12:28,-2
DL,LGA,DCA,4,ontime,14:30,14:29,-1
DL,LGA,DCA,4,ontime,17:30,17:28,-2
DL,LGA,DCA,4,ontime,20:30,20:29,-1
MQ,JFK,DCA,4,ontime,15:30,15:25,-5
MQ,JFK,DCA,4,ontime,6:00,5:56,-4
MQ,JFK,DCA,4,ontime,18:30,18:22,-8
MQ,LGA,DCA,4,ontime,9:00,8:53,-7
MQ,LGA,DCA,4,ontime,13:00,12:54,-6
MQ,LGA,DCA,4,ontime,14:00,13:56,-4
MQ,LGA,DCA,4,ontime,15:00,14:52,-8
MQ,LGA,DCA,4,ontime,19:00,18:53,-7
UA,LGA,IAD,4,ontime,8:50,8:41,-9
US,LGA,DCA,4,ontime,9:00,8:58,-2
US,LGA,DCA,4,ontime,11:00,10:56,-4
US,LGA,DCA,4,ontime,13:00,12:53,-7
US,LGA,DCA,4,ontime,15:00,14:58,-2
US,LGA,DCA,4,ontime,17:00,16:55,-5
US,LGA,DCA,4,ontime,21:00,20:55,-5
RU,EWR,BWI,4,ontime,14:55,14:52,-3
RU,EWR,BWI,4,ontime,17:20,17:10,-10
RU,EWR,BWI,4,ontime,10:30,10:30,0
RU,EWR,BWI,4,ontime,7:00,6:56,-4
CO,EWR,DCA,4,ontime,13:00,12:56,-4
CO,EWR,DCA,4,ontime,17:30,17:26,-4
DH,EWR,IAD,4,ontime,8:40,8:40,0
DH,EWR,IAD,4,ontime,17:10,17:04,-6
DH,EWR,IAD,4,ontime,12:45,12:45,0
DH,EWR,IAD,4,ontime,21:20,21:18,-2
RU,EWR,IAD,4,ontime,17:00,16:51,-9
RU,EWR,IAD,4,ontime,19:00,18:50,-10
RU,EWR,DCA,4,ontime,15:25,15:21,-4
RU,EWR,DCA,4,ontime,19:00,18:55,-5
RU,EWR,DCA,4,ontime,14:00,13:57,-3
RU,EWR,IAD,4,ontime,15:15,15:08,-7
RU,EWR,IAD,4,ontime,13:00,12:55,-5
RU,EWR,DCA,4,ontime,16:30,16:25,-5
OH,JFK,BWI,5,ontime,14:55,14:55,0
DH,JFK,DCA,5,ontime,16:40,16:41,1
DH,LGA,IAD,5,ontime,12:45,12:49,4
DH,LGA,IAD,5,delayed,14:55,15:31,36
DH,LGA,IAD,5,ontime,17:15,17:12,-3
DH,LGA,IAD,5,ontime,6:40,6:45,5
DH,LGA,IAD,5,delayed,10:39,12:36,117
DH,JFK,IAD,5,ontime,8:40,8:59,19
DH,JFK,IAD,5,ontime,12:40,12:32,-8
DH,JFK,IAD,5,ontime,14:55,14:55,0
DH,JFK,IAD,5,ontime,16:45,16:45,0
DH,JFK,IAD,5,ontime,17:15,17:16,1
DH,JFK,IAD,5,delayed,21:20,23:05,105
DH,JFK,IAD,5,ontime,16:10,16:05,-5
DH,LGA,IAD,5,ontime,21:20,21:18,-2
DL,JFK,DCA,5,ontime,14:55,14:58,3
DL,LGA,DCA,5,ontime,9:30,9:30,0
DL,LGA,DCA,5,ontime,12:30,12:30,0
DL,LGA,DCA,5,ontime,14:30,14:27,-3
DL,LGA,DCA,5,ontime,17:30,17:30,0
DL,LGA,DCA,5,ontime,20:30,20:28,-2
MQ,JFK,DCA,5,ontime,15:30,15:22,-8
MQ,JFK,DCA,5,ontime,6:00,5:52,-8
MQ,JFK,DCA,5,ontime,18:30,18:47,17
MQ,LGA,DCA,5,ontime,9:00,8:52,-8
MQ,LGA,DCA,5,ontime,11:00,10:53,-7
MQ,LGA,DCA,5,ontime,13:00,12:58,-2
MQ,LGA,DCA,5,ontime,14:00,14:02,2
MQ,LGA,DCA,5,ontime,15:00,14:56,-4
UA,LGA,IAD,5,ontime,8:50,8:50,0
US,LGA,DCA,5,ontime,7:00,6:57,-3
US,LGA,DCA,5,ontime,9:00,8:57,-3
US,LGA,DCA,5,ontime,11:00,10:58,-2
US,LGA,DCA,5,ontime,13:00,12:58,-2
US,LGA,DCA,5,ontime,15:00,14:58,-2
US,LGA,DCA,5,ontime,17:00,16:55,-5
US,LGA,DCA,5,ontime,19:00,18:55,-5
US,LGA,DCA,5,ontime,21:00,20:56,-4
RU,EWR,BWI,5,ontime,17:20,17:15,-5
RU,EWR,BWI,5,ontime,10:30,10:30,0
RU,EWR,BWI,5,ontime,7:00,6:56,-4
RU,EWR,BWI,5,ontime,14:55,14:56,1
CO,EWR,DCA,5,ontime,17:30,17:27,-3
CO,EWR,DCA,5,ontime,13:00,13:01,1
CO,EWR,DCA,5,ontime,7:59,7:54,-5
DH,EWR,IAD,5,ontime,8:40,8:37,-3
DH,EWR,IAD,5,delayed,12:45,13:50,65
DH,EWR,IAD,5,delayed,14:30,15:12,42
DH,EWR,IAD,5,ontime,6:30,6:29,-1
RU,EWR,DCA,5,ontime,16:30,16:25,-5
RU,EWR,IAD,5,ontime,7:00,6:55,-5
RU,EWR,DCA,5,ontime,9:00,8:58,-2
RU,EWR,DCA,5,ontime,7:00,6:57,-3
RU,EWR,IAD,5,ontime,17:00,16:50,-10
RU,EWR,IAD,5,ontime,19:00,18:56,-4
RU,EWR,IAD,5,ontime,13:00,12:53,-7
RU,EWR,IAD,5,ontime,9:00,8:54,-6
RU,EWR,DCA,5,ontime,19:00,18:58,-2
RU,EWR,DCA,5,ontime,21:00,20:50,-10
RU,EWR,DCA,5,ontime,14:00,13:58,-2
RU,EWR,IAD,5,delayed,15:15,15:10,-5
RU,EWR,DCA,5,ontime,15:25,15:19,-6
DH,LGA,IAD,6,ontime,12:45,12:43,-2
DH,LGA,IAD,6,ontime,17:15,17:38,23
DH,LGA,IAD,6,ontime,6:40,6:40,0
DH,LGA,IAD,6,ontime,10:39,10:30,-9
DH,JFK,IAD,6,ontime,8:40,8:55,15
DH,JFK,IAD,6,ontime,12:40,12:37,-3
DH,JFK,IAD,6,ontime,14:55,14:55,0
DH,JFK,IAD,6,ontime,16:45,16:54,9
DH,JFK,IAD,6,ontime,17:15,17:41,26
DH,JFK,IAD,6,delayed,21:20,22:13,53
DH,JFK,IAD,6,ontime,16:10,16:04,-6
DH,LGA,IAD,6,ontime,21:20,21:38,18
DL,JFK,DCA,6,delayed,14:55,15:05,10
DL,LGA,DCA,6,ontime,8:30,8:28,-2
DL,LGA,DCA,6,ontime,10:30,10:30,0
DL,LGA,DCA,6,ontime,12:30,12:30,0
DL,LGA,DCA,6,ontime,14:30,14:28,-2
DL,LGA,DCA,6,ontime,16:30,16:29,-1
DL,LGA,DCA,6,ontime,18:30,18:29,-1
DL,LGA,DCA,6,ontime,20:30,20:24,-6
MQ,JFK,DCA,6,delayed,15:30,16:00,30
MQ,JFK,DCA,6,ontime,6:00,5:55,-5
MQ,JFK,DCA,6,ontime,18:30,18:29,-1
MQ,LGA,DCA,6,ontime,9:00,8:55,-5
MQ,LGA,DCA,6,ontime,13:00,12:54,-6
UA,LGA,IAD,6,ontime,8:50,8:49,-1
US,LGA,DCA,6,ontime,7:00,6:55,-5
US,LGA,DCA,6,ontime,9:00,8:58,-2
US,LGA,DCA,6,ontime,11:00,10:59,-1
US,LGA,DCA,6,ontime,13:00,12:56,-4
US,LGA,DCA,6,ontime,15:00,15:00,0
US,LGA,DCA,6,ontime,17:00,16:58,-2
US,LGA,DCA,6,ontime,19:00,18:57,-3
RU,EWR,BWI,6,ontime,17:20,17:14,-6
RU,EWR,BWI,6,ontime,7:00,6:55,-5
RU,EWR,BWI,6,ontime,10:30,10:26,-4
RU,EWR,BWI,6,ontime,14:55,14:48,-7
CO,EWR,DCA,6,ontime,13:00,12:55,-5
DH,EWR,IAD,6,delayed,8:40,8:57,17
DH,EWR,IAD,6,ontime,17:10,17:05,-5
DH,EWR,IAD,6,delayed,12:45,13:29,44
DH,EWR,IAD,6,ontime,21:20,21:26,6
DH,EWR,IAD,6,ontime,6:30,6:25,-5
RU,EWR,IAD,6,ontime,17:25,17:22,-3
RU,EWR,DCA,6,ontime,14:00,13:56,-4
RU,EWR,IAD,6,ontime,7:00,6:58,-2
RU,EWR,DCA,6,ontime,9:30,9:41,11
RU,EWR,DCA,6,ontime,17:30,17:38,8
RU,EWR,DCA,6,ontime,16:00,15:56,-4
RU,EWR,IAD,6,ontime,15:15,15:11,-4
RU,EWR,DCA,6,ontime,7:00,7:03,3
OH,JFK,BWI,7,delayed,14:55,16:05,70
DH,JFK,DCA,7,ontime,16:40,16:44,4
DH,LGA,IAD,7,ontime,12:45,12:49,4
DH,LGA,IAD,7,delayed,14:55,15:35,40
DH,LGA,IAD,7,delayed,17:15,18:37,82
DH,LGA,IAD,7,ontime,6:40,6:40,0
DH,LGA,IAD,7,ontime,10:39,10:32,-7
DH,JFK,IAD,7,ontime,8:40,9:00,20
DH,JFK,IAD,7,ontime,12:40,12:43,3
DH,JFK,IAD,7,ontime,14:55,15:04,9
DH,JFK,IAD,7,ontime,16:45,16:42,-3
DH,JFK,IAD,7,ontime,17:15,17:09,-6
DH,JFK,IAD,7,ontime,21:20,21:20,0
DH,JFK,IAD,7,ontime,16:10,16:07,-3
DH,LGA,IAD,7,ontime,21:20,21:16,-4
DL,JFK,DCA,7,ontime,14:55,15:00,5
DL,LGA,DCA,7,ontime,8:30,8:28,-2
DL,LGA,DCA,7,ontime,10:30,10:28,-2
DL,LGA,DCA,7,ontime,12:30,12:30,0
DL,LGA,DCA,7,ontime,14:30,14:32,2
DL,LGA,DCA,7,ontime,16:30,16:29,-1
DL,LGA,DCA,7,ontime,18:30,18:32,2
DL,LGA,DCA,7,ontime,20:30,20:30,0
MQ,JFK,DCA,7,delayed,15:30,15:34,4
MQ,JFK,DCA,7,ontime,6:00,5:54,-6
MQ,JFK,DCA,7,ontime,7:30,7:45,15
MQ,JFK,DCA,7,delayed,18:30,18:58,28
MQ,LGA,DCA,7,ontime,13:00,12:57,-3
MQ,LGA,DCA,7,delayed,15:00,14:58,-2
MQ,LGA,DCA,7,ontime,17:00,16:59,-1
MQ,LGA,DCA,7,delayed,19:00,19:36,36
UA,LGA,IAD,7,ontime,8:50,8:49,-1
US,LGA,DCA,7,ontime,9:00,8:58,-2
US,LGA,DCA,7,ontime,10:00,9:54,-6
US,LGA,DCA,7,ontime,11:00,10:55,-5
US,LGA,DCA,7,ontime,12:00,11:58,-2
US,LGA,DCA,7,ontime,13:00,12:57,-3
US,LGA,DCA,7,ontime,14:00,13:59,-1
US,LGA,DCA,7,ontime,15:00,14:56,-4
US,LGA,DCA,7,ontime,16:00,15:59,-1
US,LGA,DCA,7,ontime,17:00,16:58,-2
US,LGA,DCA,7,ontime,18:00,17:58,-2
US,LGA,DCA,7,ontime,19:00,18:57,-3
US,LGA,DCA,7,ontime,20:00,19:57,-3
US,LGA,DCA,7,ontime,21:00,20:59,-1
RU,EWR,BWI,7,delayed,14:55,16:15,80
RU,EWR,BWI,7,delayed,13:15,14:16,61
RU,EWR,BWI,7,delayed,16:05,20:30,265
RU,EWR,BWI,7,delayed,10:30,12:35,125
CO,EWR,DCA,7,ontime,13:00,12:55,-5
CO,EWR,DCA,7,delayed,16:30,18:33,123
DH,EWR,IAD,7,ontime,8:40,8:57,17
DH,EWR,IAD,7,delayed,17:10,19:17,127
DH,EWR,IAD,7,delayed,12:45,13:10,25
DH,EWR,IAD,7,delayed,21:20,22:21,61
DH,EWR,IAD,7,delayed,14:30,16:00,90
RU,EWR,DCA,7,delayed,17:30,19:52,142
RU,EWR,DCA,7,ontime,9:30,9:27,-3
RU,EWR,IAD,7,ontime,9:00,8:58,-2
RU,EWR,IAD,7,delayed,19:00,21:10,130
RU,EWR,DCA,7,delayed,14:00,13:56,-4
RU,EWR,DCA,7,delayed,19:00,21:20,140
RU,EWR,IAD,7,delayed,15:15,15:57,42
OH,JFK,BWI,1,delayed,14:55,16:10,75
DH,JFK,DCA,1,delayed,16:40,16:38,-2
DH,LGA,IAD,1,delayed,12:45,13:38,53
DH,LGA,IAD,1,delayed,14:55,16:06,71
DH,LGA,IAD,1,delayed,17:15,18:48,93
DH,LGA,IAD,1,delayed,6:40,6:33,-7
DH,LGA,IAD,1,ontime,10:39,10:54,15
DH,JFK,IAD,1,delayed,8:40,9:46,66
DH,JFK,IAD,1,delayed,12:40,13:12,32
DH,JFK,IAD,1,ontime,16:45,17:00,15
DH,JFK,IAD,1,ontime,17:15,17:09,-6
DH,JFK,IAD,1,delayed,21:20,22:00,40
DH,JFK,IAD,1,delayed,16:10,16:51,41
DH,LGA,IAD,1,ontime,21:20,21:25,5
DL,JFK,DCA,1,ontime,14:55,14:59,4
DL,LGA,DCA,1,ontime,6:30,6:30,0
DL,LGA,DCA,1,ontime,7:30,7:34,4
DL,LGA,DCA,1,ontime,8:30,8:30,0
DL,LGA,DCA,1,ontime,9:30,9:32,2
DL,LGA,DCA,1,ontime,10:30,10:31,1
DL,LGA,DCA,1,ontime,11:30,11:28,-2
DL,LGA,DCA,1,ontime,12:30,12:30,0
DL,LGA,DCA,1,ontime,13:30,13:29,-1
DL,LGA,DCA,1,ontime,14:30,14:27,-3
DL,LGA,DCA,1,ontime,16:30,16:35,5
DL,LGA,DCA,1,ontime,17:30,17:30,0
DL,LGA,DCA,1,ontime,18:30,18:29,-1
DL,LGA,DCA,1,delayed,19:30,19:55,25
DL,LGA,DCA,1,ontime,20:30,20:28,-2
MQ,JFK,DCA,1,ontime,15:30,15:38,8
MQ,JFK,DCA,1,ontime,6:00,5:57,-3
MQ,LGA,DCA,1,ontime,7:00,6:56,-4
MQ,LGA,DCA,1,ontime,8:00,7:58,-2
MQ,LGA,DCA,1,ontime,9:00,8:59,-1
MQ,LGA,DCA,1,ontime,11:00,11:03,3
MQ,LGA,DCA,1,ontime,13:00,12:50,-10
MQ,LGA,DCA,1,delayed,16:00,16:27,27
MQ,LGA,DCA,1,ontime,17:00,17:02,2
MQ,LGA,DCA,1,delayed,19:00,19:49,49
UA,LGA,IAD,1,ontime,8:50,8:48,-2
US,LGA,DCA,1,delayed,6:30,6:27,-3
US,LGA,DCA,1,ontime,7:00,6:57,-3
US,LGA,DCA,1,ontime,8:00,7:57,-3
US,LGA,DCA,1,ontime,9:00,9:00,0
US,LGA,DCA,1,ontime,10:00,9:58,-2
US,LGA,DCA,1,ontime,11:00,10:57,-3
US,LGA,DCA,1,ontime,12:00,11:55,-5
US,LGA,DCA,1,ontime,13:00,12:57,-3
US,LGA,DCA,1,ontime,14:00,13:58,-2
US,LGA,DCA,1,ontime,15:00,15:00,0
US,LGA,DCA,1,ontime,16:00,16:01,1
US,LGA,DCA,1,ontime,17:00,16:57,-3
US,LGA,DCA,1,ontime,18:00,17:57,-3
US,LGA,DCA,1,ontime,19:00,18:57,-3
US,LGA,DCA,1,ontime,20:00,19:59,-1
US,LGA,DCA,1,ontime,21:00,21:00,0
RU,EWR,BWI,1,delayed,7:00,7:44,44
RU,EWR,BWI,1,delayed,14:55,15:27,32
RU,EWR,BWI,1,delayed,10:30,12:21,111
CO,EWR,DCA,1,delayed,13:00,13:24,24
CO,EWR,DCA,1,ontime,7:59,7:57,-2
CO,EWR,DCA,1,delayed,17:30,18:46,76
DH,EWR,IAD,1,ontime,8:40,8:44,4
DH,EWR,IAD,1,delayed,17:10,19:20,130
DH,EWR,IAD,1,delayed,12:45,13:57,72
DH,EWR,IAD,1,delayed,21:20,23:12,112
DH,EWR,IAD,1,delayed,14:30,15:36,66
DH,EWR,IAD,1,ontime,6:30,6:24,-6
RU,EWR,DCA,1,ontime,7:00,7:00,0
RU,EWR,DCA,1,delayed,9:00,10:56,116
RU,EWR,IAD,1,delayed,13:00,13:21,21
RU,EWR,DCA,1,ontime,21:00,21:05,5
RU,EWR,IAD,1,ontime,7:00,6:55,-5
RU,EWR,DCA,1,delayed,14:00,14:54,54
RU,EWR,DCA,1,delayed,19:00,21:04,124
RU,EWR,IAD,1,delayed,15:15,16:02,47
RU,EWR,IAD,1,ontime,9:00,8:55,-5
RU,EWR,DCA,1,delayed,15:25,16:17,52
OH,JFK,BWI,2,ontime,14:55,14:55,0
DH,LGA,IAD,2,ontime,12:45,12:40,-5
DH,LGA,IAD,2,ontime,14:55,14:51,-4
DH,LGA,IAD,2,ontime,17:15,17:52,37
DH,LGA,IAD,2,ontime,6:40,6:35,-5
DH,LGA,IAD,2,ontime,10:39,10:34,-5
DH,JFK,IAD,2,ontime,8:40,8:55,15
DH,JFK,IAD,2,ontime,12:40,12:37,-3
DH,JFK,IAD,2,ontime,14:55,14:53,-2
DH,JFK,IAD,2,ontime,16:45,16:41,-4
DH,JFK,IAD,2,delayed,17:15,17:56,41
DH,JFK,IAD,2,delayed,21:20,21:53,33
DH,JFK,IAD,2,ontime,16:10,16:07,-3
DH,LGA,IAD,2,ontime,21:20,21:18,-2
DL,JFK,DCA,2,ontime,14:55,14:57,2
DL,LGA,DCA,2,ontime,6:30,6:29,-1
DL,LGA,DCA,2,ontime,7:30,7:28,-2
DL,LGA,DCA,2,ontime,8:30,8:29,-1
DL,LGA,DCA,2,ontime,9:30,9:30,0
DL,LGA,DCA,2,ontime,10:30,10:30,0
DL,LGA,DCA,2,ontime,11:30,11:30,0
DL,LGA,DCA,2,ontime,12:30,12:30,0
DL,LGA,DCA,2,ontime,13:30,13:27,-3
DL,LGA,DCA,2,ontime,14:30,14:28,-2
DL,LGA,DCA,2,ontime,15:30,15:29,-1
DL,LGA,DCA,2,ontime,16:30,16:29,-1
DL,LGA,DCA,2,ontime,17:30,17:28,-2
DL,LGA,DCA,2,ontime,18:30,18:30,0
DL,LGA,DCA,2,ontime,19:30,19:29,-1
DL,LGA,DCA,2,ontime,20:30,20:31,1
MQ,JFK,DCA,2,ontime,15:30,15:48,18
MQ,JFK,DCA,2,ontime,6:00,5:58,-2
MQ,JFK,DCA,2,ontime,18:30,18:43,13
MQ,LGA,DCA,2,ontime,7:00,6:55,-5
MQ,LGA,DCA,2,ontime,8:00,8:17,17
MQ,LGA,DCA,2,ontime,9:00,8:52,-8
MQ,LGA,DCA,2,ontime,11:00,11:00,0
MQ,LGA,DCA,2,ontime,13:00,13:13,13
MQ,LGA,DCA,2,ontime,14:00,13:55,-5
MQ,LGA,DCA,2,delayed,15:00,15:35,35
MQ,LGA,DCA,2,ontime,16:00,15:55,-5
MQ,LGA,DCA,2,ontime,17:00,16:54,-6
MQ,LGA,DCA,2,ontime,19:00,19:04,4
UA,LGA,IAD,2,ontime,8:50,8:50,0
US,LGA,DCA,2,ontime,6:30,6:29,-1
US,LGA,DCA,2,ontime,7:00,6:57,-3
US,LGA,DCA,2,ontime,8:00,7:58,-2
US,LGA,DCA,2,ontime,9:00,8:58,-2
US,LGA,DCA,2,ontime,10:00,10:00,0
US,LGA,DCA,2,ontime,11:00,10:56,-4
US,LGA,DCA,2,ontime,12:00,11:58,-2
US,LGA,DCA,2,ontime,13:00,12:59,-1
US,LGA,DCA,2,ontime,14:00,13:57,-3
US,LGA,DCA,2,ontime,15:00,14:58,-2
US,LGA,DCA,2,ontime,16:00,15:57,-3
US,LGA,DCA,2,ontime,17:00,16:57,-3
US,LGA,DCA,2,ontime,18:00,17:58,-2
US,LGA,DCA,2,ontime,19:00,18:55,-5
US,LGA,DCA,2,ontime,20:00,19:58,-2
US,LGA,DCA,2,ontime,21:00,21:04,4
RU,EWR,BWI,2,ontime,14:55,14:51,-4
RU,EWR,BWI,2,delayed,17:20,17:29,9
RU,EWR,BWI,2,ontime,7:00,6:58,-2
RU,EWR,BWI,2,ontime,10:30,10:37,7
CO,EWR,DCA,2,delayed,17:30,17:40,10
CO,EWR,DCA,2,ontime,13:00,12:56,-4
CO,EWR,DCA,2,delayed,19:00,18:56,-4
CO,EWR,DCA,2,ontime,7:35,7:27,-8
DH,EWR,IAD,2,ontime,8:40,8:47,7
DH,EWR,IAD,2,ontime,17:10,17:05,-5
DH,EWR,IAD,2,ontime,12:45,12:36,-9
DH,EWR,IAD,2,ontime,21:20,21:18,-2
DH,EWR,IAD,2,ontime,14:30,14:35,5
DH,EWR,IAD,2,ontime,6:30,6:22,-8
RU,EWR,DCA,2,delayed,21:00,22:22,82
RU,EWR,DCA,2,ontime,9:00,8:59,-1
RU,EWR,IAD,2,delayed,19:00,19:01,1
RU,EWR,IAD,2,ontime,15:00,14:57,-3
RU,EWR,IAD,2,ontime,7:00,6:56,-4
RU,EWR,DCA,2,delayed,15:25,16:44,79
RU,EWR,IAD,2,ontime,13:00,12:53,-7
RU,EWR,DCA,2,ontime,13:59,13:56,-3
RU,EWR,IAD,2,ontime,17:00,16:56,-4
RU,EWR,DCA,2,ontime,16:30,16:27,-3
RU,EWR,DCA,2,ontime,6:45,6:44,-1
OH,JFK,BWI,3,ontime,14:55,14:55,0
DH,JFK,DCA,3,ontime,16:40,16:39,-1
DH,LGA,IAD,3,ontime,12:45,13:06,21
DH,LGA,IAD,3,ontime,14:55,14:45,-10
DH,LGA,IAD,3,delayed,17:15,18:13,58
DH,LGA,IAD,3,ontime,6:40,6:40,0
DH,LGA,IAD,3,ontime,10:40,10:38,-2
DH,JFK,IAD,3,ontime,8:40,8:31,-9
DH,JFK,IAD,3,ontime,12:40,12:40,0
DH,JFK,IAD,3,ontime,14:55,15:21,26
DH,JFK,IAD,3,ontime,16:45,16:38,-7
DH,JFK,IAD,3,delayed,17:15,19:22,127
DH,JFK,IAD,3,ontime,21:20,21:20,0
DH,JFK,IAD,3,ontime,16:10,16:06,-4
DL,JFK,DCA,3,ontime,14:55,15:01,6
DL,LGA,DCA,3,ontime,6:30,6:31,1
DL,LGA,DCA,3,ontime,8:30,8:31,1
DL,LGA,DCA,3,ontime,9:30,9:32,2
DL,LGA,DCA,3,ontime,10:30,10:30,0
DL,LGA,DCA,3,ontime,11:30,11:31,1
DL,LGA,DCA,3,ontime,12:30,12:31,1
DL,LGA,DCA,3,ontime,13:30,13:29,-1
DL,LGA,DCA,3,ontime,14:30,14:30,0
DL,LGA,DCA,3,ontime,15:30,15:28,-2
DL,LGA,DCA,3,ontime,16:30,16:29,-1
DL,LGA,DCA,3,ontime,17:30,17:28,-2
DL,LGA,DCA,3,ontime,18:30,18:28,-2
DL,LGA,DCA,3,ontime,19:30,19:27,-3
DL,LGA,DCA,3,ontime,20:30,20:30,0
MQ,JFK,DCA,3,ontime,15:30,15:30,0
MQ,JFK,DCA,3,ontime,6:00,5:55,-5
MQ,JFK,DCA,3,delayed,18:30,19:18,48
MQ,LGA,DCA,3,ontime,7:00,6:55,-5
MQ,LGA,DCA,3,ontime,8:00,7:46,-14
MQ,LGA,DCA,3,ontime,9:00,8:54,-6
MQ,LGA,DCA,3,ontime,11:00,10:56,-4
MQ,LGA,DCA,3,ontime,13:00,12:56,-4
MQ,LGA,DCA,3,ontime,14:00,13:52,-8
MQ,LGA,DCA,3,delayed,15:00,14:57,-3
MQ,LGA,DCA,3,delayed,16:00,16:24,24
MQ,LGA,DCA,3,delayed,19:00,20:14,74
UA,LGA,IAD,3,ontime,8:50,8:49,-1
US,LGA,DCA,3,ontime,6:30,6:28,-2
US,LGA,DCA,3,ontime,7:00,6:58,-2
US,LGA,DCA,3,ontime,8:00,7:57,-3
US,LGA,DCA,3,ontime,9:00,8:57,-3
US,LGA,DCA,3,ontime,10:00,9:56,-4
US,LGA,DCA,3,ontime,11:00,10:58,-2
US,LGA,DCA,3,ontime,12:00,11:57,-3
